algorithm,alpha,n_clients,partition_seed,model_seed,round,class,client_id,eval_data,precision_pre_local,recall_pre_local,f1_pre_local,precision_post_local,recall_post_local,f1_post_local,precision_post_agg,recall_post_agg,f1_post_agg,logit_margin_pre_local,logit_margin_post_local,logit_margin_post_agg,client_fedavg_weight,n_holders_this_class,holder_weight_share_this_class,global_predicted_count_this_class
fednova_sgd,0.3,15,103,22,45,DoS,2,own_client_rows,1.0,0.9998263028708434,0.9999131438920934,1.0,0.9999971525060793,0.9999985762510126,1.0,0.9998291503647639,0.9999145678843591,14.03739853467073,16.689419522347134,14.089521243505935,0.16333305737999984,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,2,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.996985207998959,1.0,0.9984903283264366,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,18.163913276100246,15.539243251272651,0.16333305737999984,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,3,own_client_rows,1.0,0.9999866086374288,0.999993304273882,0.9999933043635463,1.0,0.9999966521705652,1.0,0.9999933043187145,0.9999966521481491,21.312719178942082,22.9789557352695,21.23339499811684,0.09132365512282559,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,3,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9999347329489829,0.99989122631453,0.9999129791585084,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,15.485094265995171,15.539243251272651,0.09132365512282559,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,Regular,3,own_client_rows,1.0,0.9924692067138937,0.9962203715566944,1.0,0.9989576020592678,0.9994785292396104,1.0,0.9910438870806476,0.9955018003483167,6.3070146550646715,8.780977143364286,6.0784288526841745,0.09132365512282559,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,Regular,3,validation,0.9278520992839779,0.992857184987702,0.9592546159106451,0.8876548774607435,0.998938309907338,0.9400144864390834,0.9357531639229305,0.9917247155555293,0.9629262677429608,6.329479426713155,8.804460554526633,6.101518222592544,0.09132365512282559,10,0.7143478370064582,179682
fednova_sgd,0.3,15,103,22,45,DoS,4,own_client_rows,0.999994474405446,0.9998894997099368,0.9999419843026098,1.0,0.9998563496229178,0.9999281696522306,0.9999889489940822,0.999900549738943,0.9999447474127976,14.370649374810078,13.9576225398578,14.47167777748522,0.14436762193029046,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,DoS,4,validation,0.9999564867393338,0.999869471577436,0.9999129772653106,0.9999782215737091,0.9988905084082059,0.9994340690435767,0.9999564876860152,0.99989122631453,0.9999238559354299,15.462452003611286,14.705185751463006,15.539243251272651,0.14436762193029046,7,0.7186122461888209,45964
fednova_sgd,0.3,15,103,22,45,Ip Spoofing,4,own_client_rows,0.9192452830188679,0.5777988614800759,0.7095834547043403,0.7769918093819806,0.9900379506641366,0.870671672924489,0.9620563035495716,0.372865275142315,0.5374358974358975,0.625919986268827,2.231480752268145,0.19382303082286972,0.14436762193029046,3,0.24641950549782757,108
fednova_sgd,0.3,15,103,22,45,Ip Spoofing,4,validation,0.6132075471698113,0.22753792298716452,0.33191489361702126,0.4081534772182254,0.9929988331388565,0.5785180149558123,0.5740740740740741,0.07234539089848308,0.12849740932642487,-0.7837714570266919,0.9815418862128062,-0.9300109792061698,0.14436762193029046,3,0.24641950549782757,108
