algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,33,5,0.3082600934792764,0.12732491610404403,False,
fedavg_sgd,0.1,30,102,33,6,0.36240456303386615,0.11248773700652229,False,
fedavg_sgd,0.1,30,102,33,7,0.36149217313317167,0.11539947926027329,False,
fedavg_sgd,0.1,30,102,33,8,0.3693249164911869,0.11058548443422316,False,
fedavg_sgd,0.1,30,102,33,9,0.3716994146221241,0.10888097453937837,False,
fedavg_sgd,0.1,30,102,33,10,0.37452842909678025,0.10852864139696043,False,
fedavg_sgd,0.1,30,102,33,11,0.3744220248412602,0.10670881786913224,False,
fedavg_sgd,0.1,30,102,33,12,0.3724647511388417,0.10427638283277625,False,
fedavg_sgd,0.1,30,102,33,13,0.3729260647577576,0.10182638948279572,False,
fedavg_sgd,0.1,30,102,33,14,0.37262100643129414,0.10045765857599556,False,
fedavg_sgd,0.1,30,102,33,15,0.3782075814101187,0.10005193398936835,False,
fedavg_sgd,0.1,30,102,33,16,0.37726797039154175,0.09915615031908075,False,
fedavg_sgd,0.1,30,102,33,17,0.37879319597511696,0.10007544851391775,False,
fedavg_sgd,0.1,30,102,33,18,0.37940255317543103,0.09960290924307344,False,
fedavg_sgd,0.1,30,102,33,19,0.3814061711502925,0.1001154867106376,False,
fedavg_sgd,0.1,30,102,33,20,0.3810443059301801,0.09837705035880026,False,
fedavg_sgd,0.1,30,102,33,21,0.3831669918441769,0.10181306906079898,False,
fedavg_sgd,0.1,30,102,33,22,0.38599861498034405,0.09864321792625237,False,
fedavg_sgd,0.1,30,102,33,23,0.3860009009234145,0.10072039564339617,False,
fedavg_sgd,0.1,30,102,33,24,0.3869758308084886,0.10158881732611308,False,
fedavg_sgd,0.1,30,102,33,25,0.3876372294359751,0.09861291521581549,False,
fedavg_sgd,0.1,30,102,33,26,0.38599361753571176,0.09701805582397813,False,
fedavg_sgd,0.1,30,102,33,27,0.38793830844211696,0.100241937504446,False,
fedavg_sgd,0.1,30,102,33,28,0.3856974837771452,0.10359703861406605,False,
fedavg_sgd,0.1,30,102,33,29,0.38763922838895154,0.10016428824350594,False,
fedavg_sgd,0.1,30,102,33,30,0.3902527851964319,0.10361187557629281,False,
fedavg_sgd,0.1,30,102,33,31,0.4034802776568014,0.09991722668617727,False,
fedavg_sgd,0.1,30,102,33,32,0.3960659186060377,0.10328032815751902,False,
fedavg_sgd,0.1,30,102,33,33,0.4241678602713198,0.10060196342858918,False,
fedavg_sgd,0.1,30,102,33,34,0.3983705371429174,0.10471045837178417,False,
fedavg_sgd,0.1,30,102,33,35,0.4029099934151189,0.10576577786160635,False,
