# mean_recall_pre_local / mean_recall_post_local / mean_max_local_recall are LOCAL FITTING/RETENTION EVIDENCE on the holder's own training rows (own_client_rows), not independent local-generalization evidence -- they are evaluated on the same rows the client just trained on this round.
# mean_global_recall and everything downstream of it (aggregation_recall_loss, aggregation_margin_change) are NaN where class_evaluable=False: that class has zero true support in the validation split, so global recall is 0/NaN by sklearn construction regardless of what was learned locally, and is not a measurable erosion event.
anchor,algorithm,class,n_seeds,class_evaluable,mean_recall_pre_local,mean_recall_post_local,mean_max_local_recall,mean_global_recall,mean_local_learning_gain,mean_aggregation_recall_loss,median_aggregation_recall_loss,mean_aggregation_margin_change,median_aggregation_margin_change
light_a1.0_nc10,fedavg_sgd,Replay,4,True,0.17108906538782157,0.8369756499858314,0.9958379578246394,0.4527649769585253,0.6658865845980098,0.543072980866114,0.5732621715758732,-6.808199645143549,-6.7608622340174325
light_a1.0_nc10,fedavg_sgd,Unauth,4,True,0.49595495490258057,0.9998531646910827,1.0,0.4421017402945114,0.5038982097885021,0.5578982597054886,0.5655957161981258,-11.527250965052177,-11.628465599359489
light_a1.0_nc10,fedavg_sgd,Video,4,True,0.2483944113798494,0.9935488321004106,0.9980840232714253,0.19251581751581748,0.7451544207205612,0.8055682057556078,0.7985176045704128,-8.495199860559143,-8.650127276927527
light_a1.0_nc10,fednova_sgd,DoS,5,True,0.9998072094033571,0.9997322390872233,0.9999959702550931,0.9997302412600344,-7.497031613368232e-05,0.00026572899505878934,0.00023930210803402296,-18.261723974677306,-19.63375111777916
light_a1.0_nc10,fednova_sgd,Injection,5,True,0.6047251764772208,0.9971174881225172,1.0,0.3976387249114522,0.39239231164529637,0.6023612750885479,0.9834710743801653,-8.771170994512929,-9.216052744027783
light_a1.0_nc10,fednova_sgd,Ip Spoofing,5,True,0.5852989416498512,0.8416135982722148,0.9994533859702399,0.3584597432905484,0.2563146566223636,0.6409936426796915,0.6578060104865134,-8.838008726300707,-8.631896831871654
light_a1.0_nc10,fednova_sgd,MITM,5,True,0.5580222146955437,0.9578661938678941,0.9946010282880241,0.5110320812032303,0.39984397917235037,0.48356894708479387,0.7197906852353687,-9.781905787074761,-10.247333468937159
light_a1.0_nc10,fednova_sgd,Manipulation,5,True,0.7571904675442941,0.9800527564688529,1.0,0.3997944501541624,0.22286228892455878,0.6002055498458377,0.6330935251798562,-9.617391565086303,-9.879297854637656
light_a1.0_nc10,fednova_sgd,Password Cracking,5,False,0.9999071501424401,0.9999310660148419,0.9999310660148419,0.0,2.3915872401736315e-05,,,,
light_a1.0_nc10,fednova_sgd,Regular,5,True,0.8321369761940053,0.9380960819283715,0.9992122027083928,0.9055579476350852,0.1059591057343661,0.09365425507330753,0.005429236757932165,-4.5581870958071935,-2.178847402666925
light_a1.0_nc10,fednova_sgd,Replay,5,True,0.2117843667499407,0.8438932646838506,0.9997780244173141,0.7000921658986174,0.6321088979339099,0.29968585851869656,0.08940092165898617,-5.753485946252961,-5.634213968434616
light_a1.0_nc10,fednova_sgd,Unauth,5,True,0.39337716019792585,1.0,1.0,0.5842034805890227,0.6066228398020741,0.4157965194109773,0.03748326639892918,-8.492220116197524,-8.180915680112111
light_a1.0_nc10,fednova_sgd,Video,5,True,0.5318512653350862,0.9931004609595885,0.9973931528306108,0.4076756576756576,0.4612491956245024,0.5897174951549532,0.619021166794718,-7.796132539892706,-7.888280734797053
moderate_a0.3_nc15,fedavg_sgd,DoS,5,True,0.9998551796504678,0.9998956997064775,1.0,0.9998303130506668,4.052005600960751e-05,0.00016968694933321425,0.00015228315965798433,-12.580608250083579,-12.806351266568697
moderate_a0.3_nc15,fedavg_sgd,Injection,5,True,0.0,0.9997328716216083,1.0,0.0,0.9997328716216083,1.0,1.0,-24.727366586605964,-25.392419277841945
moderate_a0.3_nc15,fedavg_sgd,Ip Spoofing,5,True,0.35730327263811107,0.7161196225506135,0.9999113475177305,0.027537922987164475,0.35881634991250244,0.9723734245305661,0.9813302217036173,-19.882151330913008,-20.5841009962591
moderate_a0.3_nc15,fedavg_sgd,MITM,5,True,0.31072721184644647,0.8981601106144449,0.9992101678364307,0.27902496851152103,0.5874328987679984,0.7201851993249095,0.7197138923465174,-6.70626720634551,-6.643585079349871
moderate_a0.3_nc15,fedavg_sgd,Manipulation,5,True,0.8566012103771437,0.9110441336392124,1.0,0.8797533401849948,0.0544429232620689,0.12024665981500508,0.01336073997944498,-8.85175523293505,-9.208690885476043
moderate_a0.3_nc15,fedavg_sgd,Password Cracking,5,False,0.9999803045756689,0.9999803045756689,0.9999803045756691,0.0,0.0,,,,
moderate_a0.3_nc15,fedavg_sgd,Regular,5,True,0.9923899456530391,0.9389942112381062,0.9993968301960336,0.9922237098990804,-0.05339573441493295,0.007173120296953184,0.00687930861587549,-4.163946859256025,-3.9744821399595045
moderate_a0.3_nc15,fedavg_sgd,Replay,5,True,0.1784754476490376,1.0,1.0,0.15244239631336404,0.8215245523509624,0.8475576036866359,0.9760368663594471,-18.983696697559928,-18.245751819332657
