run_id,algorithm,alpha,n_clients,partition_seed,partition_id,class,recall,zero_recall,n_holders,holder_fraction,hhi,gini,holder_weight_share,class_evaluable
9,fedavg_sgd,0.3,15,101,0.3_15_101,Unauth,0.24364123159303883,0,4,0.26666666666666666,0.344191452991453,0.823065527065527,0.039239633844033034,True
9,fedavg_sgd,0.3,15,101,0.3_15_101,Video,0.33524808524808525,0,5,0.3333333333333333,0.21183017105876717,0.7069980467434499,0.16668868092136166,True
10,fednova_sgd,0.3,15,101,0.3_15_101,DoS,0.99989122631453,0,6,0.4,0.3536554687864764,0.7965057296745793,0.9061439304374357,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Injection,0.9976387249114522,0,4,0.26666666666666666,0.28721047255966387,0.7866924564796905,0.23204264688236295,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Ip Spoofing,0.9929988331388565,0,3,0.2,0.4322060105041926,0.8592197636185905,0.2931601090542769,True
10,fednova_sgd,0.3,15,101,0.3_15_101,MITM,0.108098095873157,0,5,0.3333333333333333,0.21133030089427357,0.7037446396614404,0.23644146704233526,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Manipulation,0.0,1,3,0.2,0.3743348948590714,0.8340542729850142,0.04551137098266982,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Password Cracking,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.19777668429977463,False
10,fednova_sgd,0.3,15,101,0.3_15_101,Regular,0.9949982600079037,0,8,0.5333333333333333,0.32446816073445833,0.7725127070424614,0.9120268524297691,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Replay,0.5529953917050692,0,2,0.13333333333333333,0.6354022900321895,0.9013592582590692,0.27585225396512386,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Unauth,0.0,1,4,0.26666666666666666,0.344191452991453,0.823065527065527,0.039239633844033034,True
10,fednova_sgd,0.3,15,101,0.3_15_101,Video,0.5280552780552781,0,5,0.3333333333333333,0.21183017105876717,0.7069980467434499,0.16668868092136166,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,DoS,0.999847716840342,0,10,0.3333333333333333,0.13953016328230416,0.7855528881907526,0.6617368688846493,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Injection,0.9799291617473436,0,4,0.13333333333333333,0.3390949870739163,0.9049516441005803,0.15130164706932908,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Ip Spoofing,0.0,1,6,0.2,0.25625364205731044,0.8795432329156669,0.1075227359191711,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,MITM,0.4827739497666148,0,6,0.2,0.2971474091170552,0.8964875947790396,0.36054279710639675,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Manipulation,0.0,1,4,0.13333333333333333,0.2502406363820241,0.8688294856217093,0.0019138448888016586,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Password Cracking,0.0,1,1,0.03333333333333333,1.0,0.9666666666666667,0.17909867440080143,False
11,fedavg_sgd,0.3,30,101,0.3_30_101,Regular,0.9884216797116921,0,12,0.4,0.1754015665535053,0.7812115473038724,0.7842806129140579,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Replay,0.9944700460829493,0,4,0.13333333333333333,0.25043120331669394,0.8695922225222792,0.2740314270539067,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Unauth,0.0,1,5,0.16666666666666666,0.2281414858645628,0.866883190883191,0.16803186051768226,True
11,fedavg_sgd,0.3,30,101,0.3_30_101,Video,0.0,1,4,0.13333333333333333,0.2655539368740262,0.8846947960102133,0.10893939971778345,True
12,fednova_sgd,0.3,30,101,0.3_30_101,DoS,0.999760697891966,0,10,0.3333333333333333,0.13953016328230416,0.7855528881907526,0.6617368688846493,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Injection,0.0,1,4,0.13333333333333333,0.3390949870739163,0.9049516441005803,0.15130164706932908,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Ip Spoofing,0.9988331388564761,0,6,0.2,0.25625364205731044,0.8795432329156669,0.1075227359191711,True
12,fednova_sgd,0.3,30,101,0.3_30_101,MITM,0.1538860487515744,0,6,0.2,0.2971474091170552,0.8964875947790396,0.36054279710639675,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Manipulation,0.0,1,4,0.13333333333333333,0.2502406363820241,0.8688294856217093,0.0019138448888016586,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Password Cracking,0.0,1,1,0.03333333333333333,1.0,0.9666666666666667,0.17909867440080143,False
12,fednova_sgd,0.3,30,101,0.3_30_101,Regular,0.9985195321485658,0,12,0.4,0.1754015665535053,0.7812115473038724,0.7842806129140579,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Replay,0.0,1,4,0.13333333333333333,0.25043120331669394,0.8695922225222792,0.2740314270539067,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Unauth,0.9678714859437751,0,5,0.16666666666666666,0.2281414858645628,0.866883190883191,0.16803186051768226,True
12,fednova_sgd,0.3,30,101,0.3_30_101,Video,0.12520812520812521,0,4,0.13333333333333333,0.2655539368740262,0.8846947960102133,0.10893939971778345,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,DoS,0.999608414732308,0,7,0.7,0.2774375670312191,0.6608429052246475,0.8264572894003224,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Injection,0.5572609208972845,0,4,0.4,0.3390949870739162,0.7148549323017408,0.21002761703754486,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Ip Spoofing,0.38273045507584597,0,3,0.3,0.35932673352333094,0.7452945881098374,0.3139114896736092,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,MITM,0.8207749870341557,0,6,0.6,0.2893182314182509,0.6798755163370738,0.6910203234979224,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Manipulation,0.9445015416238438,0,4,0.4,0.2502406363820241,0.6064884568651276,0.4213681828286953,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Password Cracking,0.0,1,1,0.1,1.0,0.9,0.12168425791652752,False
13,fedavg_sgd,1.0,10,101,1.0_10_101,Regular,0.9754277726331684,0,9,0.9,0.17955718567439208,0.45833941779067977,0.9817219674046403,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Replay,0.05161290322580645,0,4,0.4,0.25043120331669394,0.6087766675668377,0.3387365926212559,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Unauth,0.3092369477911647,0,3,0.3,0.3565688070713712,0.7376752136752136,0.20141182686377795,True
13,fedavg_sgd,1.0,10,101,1.0_10_101,Video,0.17499167499167498,0,3,0.3,0.3823639815965862,0.7626058524219769,0.20639340465331735,True
14,fednova_sgd,1.0,10,101,1.0_10_101,DoS,0.999869471577436,0,7,0.7,0.2774375670312191,0.6608429052246475,0.8264572894003224,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Injection,0.012987012987012988,0,4,0.4,0.3390949870739162,0.7148549323017408,0.21002761703754486,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Ip Spoofing,0.002333722287047841,0,3,0.3,0.35932673352333094,0.7452945881098374,0.3139114896736092,True
14,fednova_sgd,1.0,10,101,1.0_10_101,MITM,0.21738164036452545,0,6,0.6,0.2893182314182509,0.6798755163370738,0.6910203234979224,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Manipulation,0.9958890030832477,0,4,0.4,0.2502406363820241,0.6064884568651276,0.4213681828286953,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Password Cracking,0.0,1,1,0.1,1.0,0.9,0.12168425791652752,False
14,fednova_sgd,1.0,10,101,1.0_10_101,Regular,0.9943022631693809,0,9,0.9,0.17955718567439208,0.45833941779067977,0.9817219674046403,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Replay,0.0,1,4,0.4,0.25043120331669394,0.6087766675668377,0.3387365926212559,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Unauth,0.963855421686747,0,3,0.3,0.3565688070713712,0.7376752136752136,0.20141182686377795,True
14,fednova_sgd,1.0,10,101,1.0_10_101,Video,0.5435397935397935,0,3,0.3,0.3823639815965862,0.7626058524219769,0.20639340465331735,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,DoS,0.9993256031500859,0,6,0.4,0.3334542534687013,0.8109073459765079,0.7816379721708815,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Injection,0.768595041322314,0,4,0.26666666666666666,0.29495130738638703,0.7924177949709865,0.3518311984157178,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Ip Spoofing,0.970828471411902,0,5,0.3333333333333333,0.28274280151081727,0.7781036168132942,0.5419422711827515,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,MITM,0.0013336296954878863,0,5,0.3333333333333333,0.44876343102859184,0.857363032328985,0.17787083709668566,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Manipulation,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.019351460056685154,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Password Cracking,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.27309380583985465,False
15,fedavg_sgd,1.0,15,101,1.0_15_101,Regular,0.9944202287352322,0,13,0.8666666666666667,0.1260782489887245,0.47879315618675045,0.9946365834124762,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Replay,0.8018433179723502,0,4,0.26666666666666666,0.25043120331669394,0.7391844450445585,0.35952238989229446,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Unauth,0.0,1,5,0.3333333333333333,0.22814148586456273,0.7337663817663818,0.13276548958617232,True
15,fedavg_sgd,1.0,15,101,1.0_15_101,Video,0.6882284382284383,0,3,0.2,0.48073743468705993,0.8630528358958345,0.24857566221823693,True
16,fednova_sgd,1.0,15,101,1.0_15_101,DoS,0.9985424326147019,0,6,0.4,0.3334542534687013,0.8109073459765079,0.7816379721708815,True
16,fednova_sgd,1.0,15,101,1.0_15_101,Injection,0.0,1,4,0.26666666666666666,0.29495130738638703,0.7924177949709865,0.3518311984157178,True
16,fednova_sgd,1.0,15,101,1.0_15_101,Ip Spoofing,0.9358226371061844,0,5,0.3333333333333333,0.28274280151081727,0.7781036168132942,0.5419422711827515,True
16,fednova_sgd,1.0,15,101,1.0_15_101,MITM,0.17870637919537674,0,5,0.3333333333333333,0.44876343102859184,0.857363032328985,0.17787083709668566,True
16,fednova_sgd,1.0,15,101,1.0_15_101,Manipulation,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.019351460056685154,True
16,fednova_sgd,1.0,15,101,1.0_15_101,Password Cracking,0.0,1,1,0.06666666666666667,1.0,0.9333333333333333,0.27309380583985465,False
16,fednova_sgd,1.0,15,101,1.0_15_101,Regular,0.995428834323261,0,13,0.8666666666666667,0.1260782489887245,0.47879315618675045,0.9946365834124762,True
16,fednova_sgd,1.0,15,101,1.0_15_101,Replay,0.591705069124424,0,4,0.26666666666666666,0.25043120331669394,0.7391844450445585,0.35952238989229446,True
