algorithm,alpha,n_clients,partition_seed,model_seed,class,n_holders,max_local_recall,weighted_local_recall_pre,weighted_local_recall_post,max_local_margin_post,holder_weight_share_this_class,global_recall,global_margin_post_agg,global_recall_pre,global_margin_pre,class_evaluable,local_learning_gain,aggregation_recall_loss,aggregation_margin_change,strict_erosion,practical_erosion,holder_fraction,anchor,gini,hhi
fednova_sgd,0.1,30,102,11,Replay,4.0,1.0,0.0,1.0,7.993197054476352,0.0017222278549775,0.0,-0.5854711576540899,0.0,-1.9217928697436637,True,1.0,1.0,-8.578668212130442,1.0,1.0,0.13333333333333333,heavy_a0.1_nc30,0.8695922225222792,0.25043120331669394
fednova_sgd,0.1,30,102,11,Unauth,3.0,1.0,0.0,1.0,12.975807082915832,0.0941709354166879,0.9959839357429718,1.681283789944936,0.0,-1.5341532348469398,True,1.0,0.004016064257028162,-11.294523292970895,0.0,0.0,0.1,heavy_a0.1_nc30,0.9197606837606838,0.38275555555555557
fednova_sgd,0.1,30,102,11,Video,4.0,1.0,0.9650344259794391,0.9729359814505588,9.267835446503272,0.1976748296143195,0.4955044955044955,0.3225737478667166,0.9756909756909756,2.310491754339411,True,0.007901555471119703,0.5044955044955045,-8.945261698636555,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.892333927270278,0.2811618759734052
fednova_sgd,0.1,30,102,22,DoS,9.0,1.0,0.9998711239670637,0.9999907945850359,33.22432396131805,0.4659382118782097,0.999912981051624,17.316844064084016,0.999804207366154,17.197765176648467,True,0.0001196706179722451,8.701894837603863e-05,-15.907479897234033,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
fednova_sgd,0.1,30,102,22,Injection,3.0,1.0,0.995826190241866,0.9916857066638277,9.006513550980054,0.0761626549563234,0.0,-1.509485165934917,0.9976387249114522,1.432353158205431,True,-0.004140483578038312,1.0,-10.515998716914972,1.0,1.0,0.1,heavy_a0.1_nc30,0.9239845261121857,0.41260822555361426
fednova_sgd,0.1,30,102,22,Ip Spoofing,7.0,1.0,0.9999789218878178,0.9994928143200187,8.571599248304782,0.2428541264170126,0.1365227537922987,-0.5558699938352356,0.998833138856476,2.1125864320485706,True,-0.0004861075677990989,0.8634772462077013,-9.127469242140018,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8306229449924465,0.176893519765919
fednova_sgd,0.1,30,102,22,MITM,3.0,1.0,0.13881117131712062,0.9901177179019712,12.2769822255561,0.1078124869193469,0.0269689560643105,-2.170652035811199,0.1354375046306586,-0.934539534899538,True,0.8513065465848506,0.9730310439356895,-14.447634261367298,0.0,0.0,0.1,heavy_a0.1_nc30,0.9402849842988508,0.5172796280002712
fednova_sgd,0.1,30,102,22,Manipulation,2.0,1.0,0.0,1.0,9.217350449672963,0.0326167538400146,0.817060637204522,0.2941127122367396,0.0,-1.8802971991826185,True,1.0,0.18293936279547796,-8.923237737436224,0.0,0.0,0.06666666666666667,heavy_a0.1_nc30,0.9334386391251519,0.5000049901894057
fednova_sgd,0.1,30,102,22,Password Cracking,1.0,1.0,0.9999929659198818,1.0,15.380550950507551,0.0811433025660869,0.0,,0.0,,False,7.034080118151209e-06,,,,,0.03333333333333333,heavy_a0.1_nc30,0.9666666666666667,1.0
fednova_sgd,0.1,30,102,22,Regular,7.0,0.9991370383154988,0.7240914480820618,0.9893270167339553,9.941011723132227,0.4036370959415326,0.9952990722008246,5.393643547596894,0.7209111660306357,0.8702737496364265,True,0.26523556865189346,0.0038379661146742405,-4.5473681755353335,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8736465451806605,0.26198392568578754
fednova_sgd,0.1,30,102,22,Replay,4.0,1.0,0.0,1.0,7.545212754258165,0.0017222278549775,0.0,-0.5256497290826613,0.0,-1.6813251548099075,True,1.0,1.0,-8.070862483340825,1.0,1.0,0.13333333333333333,heavy_a0.1_nc30,0.8695922225222792,0.25043120331669394
fednova_sgd,0.1,30,102,22,Unauth,3.0,1.0,0.0,1.0,11.666911948897797,0.0941709354166879,0.9919678714859438,1.3806419832160677,0.0,-1.4873288063958308,True,1.0,0.008032128514056214,-10.28626996568173,0.0,0.0,0.1,heavy_a0.1_nc30,0.9197606837606838,0.38275555555555557
fednova_sgd,0.1,30,102,22,Video,4.0,1.0,0.960343074082921,0.9252854701157134,9.272388989369556,0.1976748296143195,0.5700965700965701,0.5369410456080378,0.9685314685314684,2.08793367277254,True,-0.035057603967207585,0.4299034299034299,-8.73544794376152,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.892333927270278,0.2811618759734052
fednova_sgd,0.1,30,102,33,DoS,9.0,1.0,0.9998960784500863,0.9999948704777231,40.157044681232094,0.4659382118782097,0.999869471577436,16.210260128869624,0.999869471577436,16.05585086855788,True,9.879202763674044e-05,0.00013052842256400243,-23.94678455236247,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
fednova_sgd,0.1,30,102,33,Injection,3.0,1.0,0.0,0.990571027684402,10.471588367724236,0.0761626549563234,0.9929161747343566,0.9818881956998968,0.0,-1.275207591591647,True,0.990571027684402,0.00708382526564344,-9.489700172024339,0.0,0.0,0.1,heavy_a0.1_nc30,0.9239845261121857,0.41260822555361426
fednova_sgd,0.1,30,102,33,Ip Spoofing,7.0,1.0,0.5646636925588058,1.0,10.250552771226417,0.2428541264170126,0.997666277712952,2.2019172588335034,0.3710618436406068,-0.3222007795977064,True,0.4353363074411942,0.002333722287047979,-8.048635512392913,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8306229449924465,0.176893519765919
fednova_sgd,0.1,30,102,33,MITM,3.0,1.0,0.07728235523629821,0.9902687839969951,10.22246765628402,0.1078124869193469,0.0451952285693117,-2.036221753705685,0.0886122842113062,-0.9221728182796408,True,0.9129864287606969,0.9548047714306883,-12.258689409989707,0.0,0.0,0.1,heavy_a0.1_nc30,0.9402849842988508,0.5172796280002712
fednova_sgd,0.1,30,102,33,Manipulation,2.0,1.0,0.8084599945615948,1.0,14.641702980253536,0.0326167538400146,0.0,-1.7419336364056075,0.7882836587872559,0.2190271281509948,True,0.19154000543840521,1.0,-16.383636616659143,1.0,1.0,0.06666666666666667,heavy_a0.1_nc30,0.9334386391251519,0.5000049901894057
fednova_sgd,0.1,30,102,33,Password Cracking,1.0,1.0,1.0,1.0,15.847208394103022,0.0811433025660869,0.0,,0.0,,False,0.0,,,,,0.03333333333333333,heavy_a0.1_nc30,0.9666666666666667,1.0
fednova_sgd,0.1,30,102,33,Regular,7.0,0.9994390749050742,0.575100117893407,0.9865726153897831,10.24652565221026,0.4036370959415326,0.9956647654549636,5.569363660559983,0.5726638394252718,0.34675543271175,True,0.41147249749637616,0.003774309450110591,-4.6771619916502765,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8736465451806605,0.26198392568578754
fednova_sgd,0.1,30,102,33,Replay,4.0,1.0,0.0,1.0,13.5605236737311,0.0017222278549775,0.0,-1.5684362174179147,0.0,-0.5218733686455933,True,1.0,1.0,-15.128959891149014,1.0,1.0,0.13333333333333333,heavy_a0.1_nc30,0.8695922225222792,0.25043120331669394
fednova_sgd,0.1,30,102,33,Unauth,3.0,1.0,1.0,1.0,11.065572296626984,0.0941709354166879,0.0,-1.0646124996813426,0.998661311914324,1.1629203173370566,True,0.0,1.0,-12.130184796308326,1.0,1.0,0.1,heavy_a0.1_nc30,0.9197606837606838,0.38275555555555557
fednova_sgd,0.1,30,102,33,Video,4.0,0.9996238244514106,0.9893607918710796,0.9180029799895172,8.872509643068064,0.1976748296143195,0.4883449883449883,-0.0560824038225771,0.9908424908424908,2.1099979935429154,True,-0.07135781188156243,0.5112788361064223,-8.92859204689064,0.0,0.0,0.13333333333333333,heavy_a0.1_nc30,0.892333927270278,0.2811618759734052
fednova_sgd,0.1,30,102,44,DoS,9.0,1.0,0.9999840291308654,0.9999958963821785,44.93727614613181,0.4659382118782097,0.999956490525812,17.635211129723498,1.0,18.13972243334893,True,1.1867251313080196e-05,4.3509474187963804e-05,-27.30206501640831,0.0,0.0,0.3,heavy_a0.1_nc30,0.8974547417288697,0.31830586126763616
fednova_sgd,0.1,30,102,44,Injection,3.0,1.0,0.0,1.0,9.884148750596374,0.0761626549563234,0.9976387249114522,1.0442552442674513,0.0,-0.9051422875774794,True,1.0,0.0023612750885477762,-8.839893506328924,0.0,0.0,0.1,heavy_a0.1_nc30,0.9239845261121857,0.41260822555361426
fednova_sgd,0.1,30,102,44,Ip Spoofing,7.0,1.0,0.5097825167298294,0.9993731813795971,9.366511356644793,0.2428541264170126,0.998833138856476,2.564215251695595,0.2590431738623104,-0.570852949571999,True,0.48959066464976764,0.001166861143524045,-6.802296104949198,0.0,0.0,0.23333333333333334,heavy_a0.1_nc30,0.8306229449924465,0.176893519765919
fednova_sgd,0.1,30,102,44,MITM,3.0,1.0,0.04243777705827891,0.990282233145258,13.498247906971208,0.1078124869193469,0.1898940505297473,-1.71398903170612,0.0696451063199229,-1.1449257242350153,True,0.9478444560869791,0.8101059494702527,-15.212236938677329,0.0,0.0,0.1,heavy_a0.1_nc30,0.9402849842988508,0.5172796280002712
