alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id,hhi,n_holders,holder_fraction,rescued
0.3,15,103,MITM,0.0,0.0,0.3_15_103,0.5376313290244756,3,0.2,False
0.3,15,103,Manipulation,0.0,0.0,0.3_15_103,0.2502406363820241,4,0.26666666666666666,False
0.3,15,103,Regular,0.0,0.0,0.3_15_103,0.17180948250499076,10,0.6666666666666666,False
0.3,15,103,Replay,0.0,1.0,0.3_15_103,0.6354022900321895,2,0.13333333333333333,False
0.3,15,103,Unauth,0.0,0.0,0.3_15_103,0.3599265979983929,3,0.2,False
0.3,15,103,Video,0.0,0.0,0.3_15_103,0.5857075367373191,2,0.13333333333333333,False
0.3,30,101,DoS,0.0,0.0,0.3_30_101,0.13953016328230416,10,0.3333333333333333,False
0.3,30,101,Injection,0.0,1.0,0.3_30_101,0.3390949870739163,4,0.13333333333333333,False
0.3,30,101,Ip Spoofing,1.0,0.0,0.3_30_101,0.25625364205731044,6,0.2,True
0.3,30,101,MITM,0.0,0.0,0.3_30_101,0.2971474091170552,6,0.2,False
0.3,30,101,Manipulation,1.0,1.0,0.3_30_101,0.2502406363820241,4,0.13333333333333333,False
0.3,30,101,Regular,0.0,0.0,0.3_30_101,0.1754015665535053,12,0.4,False
0.3,30,101,Replay,0.0,1.0,0.3_30_101,0.25043120331669394,4,0.13333333333333333,False
0.3,30,101,Unauth,1.0,0.0,0.3_30_101,0.2281414858645628,5,0.16666666666666666,True
0.3,30,101,Video,1.0,0.0,0.3_30_101,0.2655539368740262,4,0.13333333333333333,True
0.3,30,102,DoS,0.0,0.0,0.3_30_102,0.28575069387348573,9,0.3,False
0.3,30,102,Injection,1.0,0.0,0.3_30_102,0.29495130738638703,4,0.13333333333333333,True
0.3,30,102,Ip Spoofing,0.0,0.0,0.3_30_102,0.176893519765919,7,0.23333333333333334,False
0.3,30,102,MITM,0.0,0.0,0.3_30_102,0.3017089060273916,7,0.23333333333333334,False
0.3,30,102,Manipulation,0.0,0.0,0.3_30_102,0.2502406363820241,4,0.13333333333333333,False
0.3,30,102,Regular,0.0,0.0,0.3_30_102,0.21796569431762192,8,0.26666666666666666,False
0.3,30,102,Replay,1.0,0.0,0.3_30_102,0.25043120331669394,4,0.13333333333333333,True
0.3,30,102,Unauth,0.0,0.0,0.3_30_102,0.2660099057637519,4,0.13333333333333333,False
