seed,round,class,client_id,role,fedavg_weight,update_norm,weighted_contribution_norm,cosine_update_vs_aggregate
11,20,Replay,0,non_holder,0.17920750543457536,0.24340802431106567,0.04362054541707039,0.9205738306045532
11,20,Replay,1,holder,0.033765990953071506,0.10337455570697784,0.0034905443899333477,-0.8664906620979309
11,20,Replay,2,non_holder,0.027715636601085895,0.1125408262014389,0.003119140863418579,0.9482747912406921
11,20,Replay,3,non_holder,0.08175443067881731,0.10236766934394836,0.00836900994181633,0.9463594555854797
11,20,Replay,4,holder,0.06399450821860342,0.15897247195243835,0.010173364542424679,-0.6489828824996948
11,20,Replay,5,non_holder,0.052472836425095884,0.13110412657260895,0.006879405118525028,0.9646508693695068
11,20,Replay,6,non_holder,0.2406300665729666,0.3046150803565979,0.07329954206943512,0.962221086025238
11,20,Replay,7,non_holder,0.026203164285561475,0.08099187910556793,0.002122243633493781,0.9503893852233887
11,20,Replay,8,non_holder,0.09916879135230468,0.13246862590312958,0.013136753812432289,0.9257760643959045
11,20,Replay,9,non_holder,0.024786500486949116,0.07442855834960938,0.0018448233604431152,0.9512653946876526
11,20,Replay,10,holder,0.035486358448497346,0.10582874715328217,0.003755477024242282,-0.7502024173736572
11,20,Replay,11,non_holder,0.03317718715496144,0.08346867561340332,0.002769255777820945,0.943060576915741
11,20,Replay,12,non_holder,0.01581073073993011,0.06126909703016281,0.000968709122389555,0.949676513671875
11,20,Replay,13,non_holder,0.039270329776635936,0.14117421209812164,0.005543957930058241,0.9256106019020081
11,20,Replay,14,non_holder,0.04655596287094407,0.08945201337337494,0.004164524842053652,0.9463303685188293
11,30,Manipulation,0,non_holder,0.17920750543457536,0.1861046999692917,0.0333513580262661,0.9135881662368774
11,30,Manipulation,1,non_holder,0.033765990953071506,0.10086378455162048,0.0034057656303048134,0.9236542582511902
11,30,Manipulation,2,holder,0.027715636601085895,0.08801504969596863,0.0024393931962549686,-0.8536882400512695
11,30,Manipulation,3,non_holder,0.08175443067881731,0.06805984675884247,0.005564194172620773,0.9446715116500854
11,30,Manipulation,4,non_holder,0.06399450821860342,0.17619138956069946,0.011275280267000198,0.9390377998352051
11,30,Manipulation,5,non_holder,0.052472836425095884,0.11289531737565994,0.005923937540501356,0.9624549746513367
11,30,Manipulation,6,non_holder,0.2406300665729666,0.2997235953807831,0.07212250679731369,0.9816598892211914
11,30,Manipulation,7,non_holder,0.026203164285561475,0.07297952473163605,0.0019122944213449955,0.9631560444831848
11,30,Manipulation,8,non_holder,0.09916879135230468,0.03600548580288887,0.003570620669052005,0.8934920430183411
11,30,Manipulation,9,non_holder,0.024786500486949116,0.049246128648519516,0.0012206390965729952,0.9006579518318176
