algorithm,seed,round,val_macro_f1,val_loss,manipulation_predicted_count,replay_predicted_count,manipulation_recall,replay_recall,manipulation_f1,replay_f1,communication_multiplier_vs_fedavg,elapsed_seconds
fednova,11,7,0.29366433805975006,0.11058764547514655,0,0,0.0,0.0,0.0,0.0,1.0,110.88379764556885
fednova,11,8,0.33388755690609284,0.1077937128683888,0,198,0.0,0.15483870967741936,0.0,0.2618862042088854,1.0,126.42900085449219
fednova,11,9,0.3300857477977401,0.1076905304229814,0,120,0.0,0.11059907834101383,0.0,0.1991701244813278,1.0,141.96485686302185
fednova,11,10,0.3229220290728092,0.10672889625773019,0,78,0.0,0.07188940092165899,0.0,0.13413585554600171,1.0,157.37932872772217
fednova,11,11,0.3427386484343715,0.10335770606975724,0,174,0.0,0.14193548387096774,0.0,0.24463860206513105,1.0,172.72097158432007
fednova,11,12,0.31507866904766246,0.10433047361208762,0,24,0.0,0.022119815668202765,0.0,0.04328223624887286,1.0,188.21009278297424
fednova,11,13,0.33221771162500624,0.1018237299151987,0,67,0.0,0.06175115207373272,0.0,0.11631944444444445,1.0,204.07031679153442
fednova,11,14,0.35113109926264335,0.10088463117612367,0,268,0.0,0.20092165898617512,0.0,0.3222468588322247,1.0,220.49287295341492
fednova,11,15,0.3493909921355532,0.10239948257249185,0,247,0.0,0.17419354838709677,0.0,0.28378378378378377,1.0,236.82401371002197
fednova,11,16,0.38452805108445737,0.09967039940308556,0,918,0.0,0.4875576036866359,0.0,0.528207688467299,1.0,253.36201286315918
fednova,11,17,0.3597702803085927,0.10055285255295475,0,346,0.0,0.23778801843317973,0.0,0.36058700209643607,1.0,269.8977746963501
fednova,11,18,0.39612850795037774,0.09873700493929283,0,1460,0.0,0.7170506912442396,0.0,0.6113948919449902,1.0,286.06652784347534
fednova,11,19,0.3683100786948372,0.10168402811414366,0,461,0.0,0.28847926267281104,0.0,0.4049159120310479,1.0,303.0644176006317
fednova,11,20,0.4005086485046031,0.10139786685699073,0,1135,0.0,0.5824884792626728,0.0,0.5693693693693693,1.0,319.3908908367157
fednova,11,21,0.3947535632345816,0.10341078603142669,0,1516,0.0,0.7382488479262673,0.0,0.615916955017301,1.0,335.5793809890747
fednova,11,22,0.39890530872747004,0.10294520425987742,0,1501,0.0,0.7493087557603687,0.0,0.62877030162413,1.0,352.16399693489075
fednova,11,23,0.40914452403514046,0.10389932968348882,0,1617,0.0,0.7907834101382488,0.0,0.6350851221317543,1.0,368.5611720085144
fednova,11,24,0.39956825717574496,0.10432402153733464,0,1778,0.0,0.808294930875576,0.0,0.6126440796367447,1.0,385.0429618358612
fednova,11,25,0.39247178779834435,0.10472344533212609,0,1801,0.0,0.8147465437788018,0.0,0.6126126126126126,1.0,401.3280289173126
fednova,11,26,0.3950474948465008,0.10431833779455348,0,1766,0.0,0.8055299539170507,0.0,0.6131182041388986,1.0,417.70485377311707
fednova,11,27,0.4095530813617999,0.10529235647521536,0,1778,0.0,0.8073732718894009,0.0,0.611945511701013,1.0,434.0798819065094
fednova,11,28,0.40391569299682795,0.10491388057866138,0,1992,0.0,0.8847926267281107,0.0,0.6239844003899903,1.0,450.4991638660431
fednova,11,29,0.4015948395006111,0.1043837484522359,0,2043,0.0,0.8949308755760369,0.0,0.620843989769821,1.0,467.1246190071106
fednova,11,30,0.4083829422913085,0.10575603442458174,0,1888,0.0,0.8433179723502304,0.0,0.615539858728557,1.0,483.5172526836395
fednova,11,31,0.41150293552455636,0.10592242438332548,0,1922,0.0,0.8617511520737328,0.0,0.6218822746923844,1.0,499.66052079200745
fednova,11,32,0.4112447807338289,0.10702498111450547,0,1963,0.0,0.8792626728110599,0.0,0.6259842519685039,1.0,515.8395326137543
fednova,11,33,0.4245210936255152,0.10984285054253203,0,1367,0.0,0.7179723502304147,0.0,0.6353996737357259,1.0,531.8129436969757
fednova,11,34,0.4251154143732819,0.10704387748182974,0,1746,0.0,0.8294930875576036,0.0,0.6358177322500883,1.0,547.6765167713165
fednova,11,35,0.41992401813205693,0.10822768522573231,0,1906,0.0,0.8783410138248848,0.0,0.6372450685389501,1.0,563.5014808177948
fednova,11,36,0.42836993357027225,0.10758708172517104,0,1580,0.0,0.7926267281105991,0.0,0.6454033771106942,1.0,579.2676777839661
fednova,11,37,0.4217398998907338,0.1088131839257583,0,1746,0.0,0.8221198156682028,0.0,0.630166019074532,1.0,595.0513789653778
fednova,11,38,0.4194769756713821,0.10816177819972024,0,1952,0.0,0.896774193548387,0.0,0.6407639117550215,1.0,610.7930388450623
fednova,11,39,0.4191941597919726,0.10726851707612708,0,1923,0.0,0.9023041474654377,0.0,0.6509308510638298,1.0,626.6277766227722
fednova,11,40,0.42795826248279645,0.10765913873967689,0,1971,0.0,0.9253456221198156,0.0,0.6570680628272252,1.0,642.4109439849854
fednova,11,41,0.4192411951719974,0.10793823430411095,0,2044,0.0,0.9345622119815669,0.0,0.6481303930968361,1.0,658.2637467384338
fednova,11,42,0.4195610748370826,0.10628916931831581,0,2158,0.0,0.9483870967741935,0.0,0.6345975948196114,1.0,673.9664828777313
fednova,11,43,0.4019484195843116,0.10778781543908618,0,2257,0.0,0.9557603686635945,0.0,0.6205864751645721,1.0,689.8020627498627
fednova,11,44,0.41813812568503467,0.10805924771394167,0,2132,0.0,0.9410138248847926,0.0,0.6347528753497047,1.0,705.5481989383698
fednova,11,45,0.42289307389623987,0.10578647452512911,0,2117,0.0,0.9410138248847926,0.0,0.6377264209868831,1.0,721.3608069419861
fedadam,11,1,0.16746859499379316,0.119837779095623,0,0,0.0,0.0,0.0,0.0,1.0,15.830209016799927
fedadam,11,2,0.2676695646537055,0.1166552098377714,0,0,0.0,0.0,0.0,0.0,1.0,31.67014980316162
fedadam,11,3,0.2679302473443373,0.12607937471748315,0,0,0.0,0.0,0.0,0.0,1.0,47.47005891799927
fedadam,11,4,0.2202853421293199,0.17706161759679115,0,0,0.0,0.0,0.0,0.0,1.0,68.79482293128967
fedadam,11,5,0.22359200155264006,0.2612527479428903,0,0,0.0,0.0,0.0,0.0,1.0,95.4127140045166
fedadam,11,6,0.22568996958221416,0.33308658025940147,0,0,0.0,0.0,0.0,0.0,1.0,121.49156594276428
fedadam,11,7,0.22853612552985744,0.36829969843984156,0,0,0.0,0.0,0.0,0.0,1.0,147.6974799633026
fedadam,11,8,0.2492946828149255,0.36885612855309635,0,0,0.0,0.0,0.0,0.0,1.0,173.50462293624878
fedadam,11,9,0.2699493162084463,0.35099786736830263,0,0,0.0,0.0,0.0,0.0,1.0,199.22883296012878
fedadam,11,10,0.2875857642839262,0.33173321834118585,0,0,0.0,0.0,0.0,0.0,1.0,224.86461782455444
fedadam,11,11,0.3029740646720551,0.3109841549630779,0,0,0.0,0.0,0.0,0.0,1.0,250.55896973609924
fedadam,11,12,0.31152987235778756,0.28608747560004183,0,0,0.0,0.0,0.0,0.0,1.0,276.2880198955536
fedadam,11,13,0.31791629503458396,0.25646039254368136,0,0,0.0,0.0,0.0,0.0,1.0,302.0183570384979
fedadam,11,14,0.32335562033116233,0.2250358820346159,0,0,0.0,0.0,0.0,0.0,1.0,327.60442900657654
fedadam,11,15,0.3267206243567656,0.1942165649207634,0,0,0.0,0.0,0.0,0.0,1.0,353.4850528240204
fedadam,11,16,0.3390915704874664,0.1689580918760122,0,0,0.0,0.0,0.0,0.0,1.0,379.0038208961487
fedadam,11,17,0.35514048895182476,0.15204567910584021,0,0,0.0,0.0,0.0,0.0,1.0,404.43703293800354
fedadam,11,18,0.3713595160300737,0.14272996658792694,0,0,0.0,0.0,0.0,0.0,1.0,430.1247749328613
fedadam,11,19,0.3834659173359828,0.13915473021066113,0,0,0.0,0.0,0.0,0.0,1.0,455.86767411231995
fedadam,11,20,0.39010434908087593,0.13974671208450287,0,0,0.0,0.0,0.0,0.0,1.0,481.25904393196106
fedadam,11,21,0.38303087330274105,0.14279100469032432,0,0,0.0,0.0,0.0,0.0,1.0,507.2313849925995
fedadam,11,22,0.3693760049233432,0.14655675342623514,0,0,0.0,0.0,0.0,0.0,1.0,524.2518839836121
fedadam,11,23,0.35864340762706565,0.1505212124948416,0,0,0.0,0.0,0.0,0.0,1.0,540.7488808631897
fedadam,11,24,0.35764670946428195,0.1545164430567374,0,0,0.0,0.0,0.0,0.0,1.0,557.5888838768005
fedadam,11,25,0.361115674734598,0.15812267542655042,0,0,0.0,0.0,0.0,0.0,1.0,574.1026089191437
fedadam,11,26,0.3643931697006787,0.16168034597343459,0,0,0.0,0.0,0.0,0.0,1.0,590.2698397636414
fedadam,11,27,0.36744297093105555,0.16482872314078525,0,0,0.0,0.0,0.0,0.0,1.0,606.8221650123596
fedadam,11,28,0.36712875772902437,0.16743078780239998,0,0,0.0,0.0,0.0,0.0,1.0,623.3015258312225
fedadam,11,29,0.36781119419556174,0.16882503298677073,0,0,0.0,0.0,0.0,0.0,1.0,639.7908790111542
fedadam,11,30,0.37236992162097,0.16919009203630658,0,0,0.0,0.0,0.0,0.0,1.0,656.1570479869843
fedadam,11,31,0.37697953147963487,0.16857600609780743,0,0,0.0,0.0,0.0,0.0,1.0,672.4806778430939
fedadam,11,32,0.3824449277425712,0.1666653044702865,0,0,0.0,0.0,0.0,0.0,1.0,688.912055015564
fedadam,11,33,0.38645406302330504,0.1642563522106023,0,0,0.0,0.0,0.0,0.0,1.0,705.2227969169617
fedadam,11,34,0.3889255669956546,0.16201148368891155,0,0,0.0,0.0,0.0,0.0,1.0,721.5751810073853
fedadam,11,35,0.3886428799990065,0.16052924807332739,0,0,0.0,0.0,0.0,0.0,1.0,737.8863418102264
fedadam,11,36,0.38660855317388987,0.15978590028439915,0,0,0.0,0.0,0.0,0.0,1.0,754.2724380493164
fedadam,11,37,0.38414118558537297,0.16003942864386542,0,0,0.0,0.0,0.0,0.0,1.0,770.6915929317474
fedadam,11,38,0.3806863560233251,0.16206236136987182,0,0,0.0,0.0,0.0,0.0,1.0,787.038899898529
fedadam,11,39,0.3779589961291498,0.1646484225043733,0,0,0.0,0.0,0.0,0.0,1.0,803.5417678356171
fedadam,11,40,0.3754768398360885,0.16729442069986208,0,0,0.0,0.0,0.0,0.0,1.0,819.7726049423218
fedadam,11,41,0.37339618817957754,0.1692123873491674,0,0,0.0,0.0,0.0,0.0,1.0,836.1757729053497
fedadam,11,42,0.3713898082292821,0.1706899930716612,0,0,0.0,0.0,0.0,0.0,1.0,852.4407868385315
fedadam,11,43,0.3706252125894085,0.17190217625520904,0,0,0.0,0.0,0.0,0.0,1.0,868.877278804779
fedadam,11,44,0.36956324642560684,0.17327232304857995,0,0,0.0,0.0,0.0,0.0,1.0,885.1419367790222
fedadam,11,45,0.3690485330462974,0.17463276697079813,0,0,0.0,0.0,0.0,0.0,1.0,901.5775370597839
