seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,30,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.35612817971589034,0.9935483870967742,0.52431906614786,0.0,0.0,0.0,-5.518949031829834,0.9771358370780945,-5.335543155670166,6.4960848689079285,-6.3126789927482605,0.18340587615966797,0.1354360282421112,-0.6656188368797302,0.00866716168820858,0.19268079646380531,0.014870183542370796,0.15113987028598785,-0.7797449827194214
11,30,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.537469863891602,-0.521348774433136,-5.3499436378479,5.016121089458466,-4.828594863414764,0.18752622604370117,0.1009538322687149,-0.7210087776184082,0.0035824840888381004,0.19268079646380531,0.014870183542370796,0.15113987028598785,-0.7797449827194214
11,30,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.518949031829834,-0.4913536012172699,-5.335543155670166,5.027595430612564,-4.844189554452896,0.18340587615966797,0.1009538322687149,-0.7210087776184082,0.0035824840888381004,0.19268079646380531,0.014870183542370796,0.15113987028598785,-0.7797449827194214
11,45,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.614848136901855,-1.1844428777694702,-9.678662300109863,8.430405259132385,-8.494219422340393,-0.06381416320800781,0.08427263796329498,-0.8340671062469482,0.0023356699384748936,0.17457977346583287,0.006351850926876068,0.09769100695848465,-0.8893928527832031
11,45,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.652745246887207,-1.2130069732666016,-9.735237121582031,8.439738273620605,-8.52223014831543,-0.08249187469482422,0.08427263796329498,-0.8340671062469482,0.0023356699384748936,0.17457977346583287,0.006351850926876068,0.09769100695848465,-0.8893928527832031
11,45,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,1.0,0.3351863963374755,0.5020818025961303,0.0,0.0,0.0,-9.64950942993164,-0.12324850261211395,-9.718442916870117,9.526260927319527,-9.595194414258003,-0.06893348693847656,0.1048150360584259,-0.8762657642364502,0.0041161212138831615,0.17457977346583287,0.006351850926876068,0.09769100695848465,-0.8893928527832031
11,45,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.35435056746532156,0.28879753340184994,0.318233295583239,0.0,0.0,0.0,-9.652745246887207,-0.1565704494714737,-9.735237121582031,9.496174797415733,-9.578666672110558,-0.08249187469482422,0.1048150360584259,-0.8762657642364502,0.0041161212138831615,0.17457977346583287,0.006351850926876068,0.09769100695848465,-0.8893928527832031
11,45,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.9932508436445444,0.9800221975582686,0.9865921787709497,0.0,0.0,0.0,-5.540342330932617,0.9089959859848022,-5.640021324157715,6.449338316917419,-6.549017310142517,-0.09967899322509766,0.08117986470460892,-0.7852447628974915,0.0027411184273660183,0.2072456493098811,0.013800342567265034,0.1264905333518982,-0.6818727254867554
11,45,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.3720689655172414,0.9944700460829493,0.5415307402760351,0.0,0.0,0.0,-5.400781154632568,1.0669012069702148,-5.463961601257324,6.467682361602783,-6.530862808227539,-0.06318044662475586,0.08117986470460892,-0.7852447628974915,0.0027411184273660183,0.2072456493098811,0.013800342567265034,0.1264905333518982,-0.6818727254867554
11,45,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.5766710353866317,0.990990990990991,0.7290803645401823,0.0,0.0,0.0,-5.473747253417969,1.206900954246521,-5.542169094085693,6.68064820766449,-6.749070048332214,-0.06842184066772461,0.1318468302488327,-0.5176011919975281,0.008437473326921463,0.2072456493098811,0.013800342567265034,0.1264905333518982,-0.6818727254867554
