seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,5,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.297276496887207,-3.692304849624634,-11.391461372375488,6.604971647262573,-7.6991565227508545,-1.0941848754882812,0.10910209268331528,-0.8851562738418579,0.003023833967745304,0.09251449332704265,0.008453522808849812,0.22035157680511475,-0.9181390404701233
11,5,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.953695297241211,-3.686150550842285,-11.011931419372559,6.267544746398926,-7.325780868530273,-1.0582361221313477,0.10910209268331528,-0.8851562738418579,0.003023833967745304,0.09251449332704265,0.008453522808849812,0.22035157680511475,-0.9181390404701233
11,5,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.9947746570868713,0.9960758665794637,0.9954248366013072,0.0,0.0,0.0,-10.232539176940918,0.7539692521095276,-11.321660995483398,10.986508429050446,-12.075630247592926,-1.0891218185424805,0.13936835527420044,-0.919270396232605,0.005473040975630283,0.09251449332704265,0.008453522808849812,0.22035157680511475,-0.9181390404701233
11,5,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.18686187632440762,0.9969167523124358,0.3147306943543154,0.0,0.0,0.0,-9.953695297241211,0.7318769097328186,-11.011931419372559,10.68557220697403,-11.743808329105377,-1.0582361221313477,0.13936835527420044,-0.919270396232605,0.005473040975630283,0.09251449332704265,0.008453522808849812,0.22035157680511475,-0.9181390404701233
11,5,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.9825136612021858,0.9977802441731409,0.9900881057268722,0.0,0.0,0.0,-7.869968891143799,1.3608996868133545,-8.202921867370605,9.230868577957153,-9.56382155418396,-0.33295297622680664,0.12291061878204346,-0.8663157820701599,0.004150198772549629,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
11,5,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.22069253233208178,0.9751152073732718,0.3599251573396836,0.0,0.0,0.0,-8.217364311218262,1.2846378087997437,-8.6021146774292,9.502002120018005,-9.886752486228943,-0.3847503662109375,0.12291061878204346,-0.8663157820701599,0.004150198772549629,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
11,5,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.5485074626865671,0.9932432432432432,0.7067307692307693,0.0,0.0,0.0,-8.016829490661621,2.962500810623169,-8.375608444213867,10.97933030128479,-11.338109254837036,-0.3587789535522461,0.19972483813762665,-0.7285616397857666,0.012781292200088501,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
11,5,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.20595533498759305,0.9944700460829493,0.34123972169512967,0.0,0.0,0.0,-8.217364311218262,3.1270382404327393,-8.6021146774292,11.344402551651001,-11.729152917861938,-0.3847503662109375,0.19972483813762665,-0.7285616397857666,0.012781292200088501,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
11,5,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0200834274292,-1.9657858610153198,-8.381035804748535,6.054297566413879,-6.415249943733215,-0.36095237731933594,0.13026584684848785,-0.8676497936248779,0.004622660111635923,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
11,5,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.217364311218262,-1.9690141677856445,-8.6021146774292,6.248350143432617,-6.633100509643555,-0.3847503662109375,0.13026584684848785,-0.8676497936248779,0.004622660111635923,0.1881547793731544,0.021266980096697807,0.20589891076087952,-0.8318780064582825
